용어,챗봇
농업인주택,"일정한 자격을 갖추고 농업을 하는 사람이 사는 주택을 말한다. 다음의 요건을 모두 갖춘 건축물 및 시설물을 말한다.① 농업인 1인 이상으로 구성되는 농업 · 임업 또는 축산업을 영위하는 세대로서 다음의 어느 하나에 해당하는 세대의 세대주가 설치하는 것일 것, ⅰ) 해당 세대의 농업 · 임업 또는 축산업에 따른 수입액이 연간 총수입액의 2분의 1을 초과하는 세대, ⅱ) 해당 세대원의 노동력의 2분의 1 이상으로 농업 · 임업 또는 축산업을 영위하는 세대② ①의 ⅰ), ⅱ) 중 어느 하나에 해당하는 세대의 세대원이 장기간 독립된 주거생활을 영위할 수 있는 구조로 된 건축물 및 해당 건축물에 부속한 창고 · 축사 등 농업 · 임업 또는 축산업을 영위하는데 필요한 시설로서 그 부지의 총면적이 1세대 당 660제곱미터 이하 일 것.③ ①의 ⅰ), ⅱ) 중 어느 하나에 해당하는 세대의 농업 · 임업 또는 축산업의 경영의 근거가 되는 농지 · 산림 · 축사 등이 있는 시(구를 두지 않은 시를 말하며, 도농복합형태의 시에 있어서는 동지역에 한함) · 구(도농복합형태의 시의 구는 동 지역에 한함) · 읍 · 면 또는 이에 연접한 시 · 구 · 읍 · 면 지역에 설치하는 것일 것. 근거법은 농지법이다."
건설공사,"토목공사, 건축공사, 산업설비공사, 조경공사, 환경시설공사, 그 밖에 명칭에 관계없이 시설물을 설치 · 유지 · 보수하는공사(시설물을 설치하기 위한 부지조성공사를 포함한다) 및 기계설비나 그 밖의 구조물의 설치 및 해체공사 등을 말한다. 다만, 다음에 해당하는 공사는 포함하지 아니한다.① 전기공사업법에 따른 전기공사,② 정보통신공사업법에 따른 정보통신공사,③ 소방시설공사업법에 따른 소방시설공사,④ 문화재 수리 등에 관한 법률에 따른 문화재 수리공사. 관련법은 건설산업기본법이다."
현금흐름할인법,"부동산평가 방식 중 수익환원법의 하나로 당해 부동산이 연속하는 복수기간에 발생하는 순수익 및 복귀가격을 그 발생 시기에 따라 현재가치로 할인하여 각각을 합계하는 방법을 말한다.대상물건을 바로 매각하는 것을 상정한 것이 직접환원법이고, 이것은 물건으로부터 발생하는 가동 수익을 수년간 수령한 후 매각할 것을 상정하여 적용하는 방법이다. 기간 중 가동수익과 매각가격으로 성립되는 현금흐름을 현재가치로 할인한 합계가 물건의 평가액이 된다.계산식은 다음과 같다.DCF법의 수익가격 = 매 기간의 순수익 현재가치 합계+복귀가격의 현재가치."
파고라,"마당에 덩굴식물을 올리기 위해 설치한 시설이다. 정확한 외래어 표기는 '퍼걸러'다. 마당이나 평평한 지붕 위에 나무를 가로와 세로로 얽어 세워서 등나무, 포도나무 같은 덩굴성 식물을 올리도록 만든 시설이다.건축법에는 파고라라 하고 일정규모 이상의 건축물을 건축할 때는 공개공지나 공개공간을 두어야 하는데, 이때 공개공지에 공중이 이용할 수 있도록 긴 의자 등과 더불어 의무적으로 설치해야 하는 시설의 하나이다."
도급계약,"당사자의 일방(수급인)이 어느 일을 완성할 것을 약정하고 상대방(도급인)이 그 일의 결과에 대하여 보수를 지급할 것을 약정함으로써 성립하는 계약으로 도급업자가 도로, 댐, 교량, 터널, 선박 및 고층건물 등의 공사를 계약조건에 따라 수행하는 계약을 말한다. 건설공사에 관한 도급계약의 원칙은 다음과 같다.① 건설공사에 관한 도급계약(하도급 계약 포함)의 당사자는 대등한 입장에서 합의에 따라 공정하게 계약을 체결하고, 신의에 따라 성실하게 계약을 이행해야 하며,② 건설공사에 관한 도급계약의 당사자는 그 계약의 체결에서 도급금액 · 공사기간 등을 계약서에 명시해야 하며, 서명 · 날인한 계약서를 서로 교부하여 보관해야 하며,③ 국토교통부장관은 계약당사자가 대등한 입장에서 공정하게 계약을 체결 하도록 하기 위하여 건설공사의 도급 및 건설사업관리의 위탁에 관한 표준계약서(하도급의 경우는 공정거래위원회가 권장하는 건설공사표준하도급계약서)를 정하여 보급할 수 있다.근거법은 건설산업기본법이다."
동물 및 식물관련시설,"용도별 건축물의 분류 중 하나로, 축사(양잠 · 양봉 · 양어시설 및 부화장 등을 포함), 가축시설(가축용 운동시설, 인공수정센터, 관리사, 가축용 창고, 가축시장, 동물검역소, 실험동물 사육시설, 그 밖에 이와 비슷한 것), 도축장, 도계장, 작물 재배사, 종묘배양시설, 화초 및 분재 등의 온실을 말한다. 근거법규는 건축법이다."
공공주택지구,"공공주택의 공급을 위하여 공공주택이 전체주택 중 100분의 50 이상이 되고, 국토교통부장관이 공공주택지구조성사업을 추진하기 위하여 지정 ․ 고시하는 지구를 말한다. 공공주택지구는 국토교통부장관이 지정하거나 변경 또는 해제할 수 있다. 국토교통부장관은 주택지구를 지정하거나 지정된 주택지구를 변경하려면 중앙도시계획위원회의 심의를 거쳐야 한다. 근거법은 공공주택 특별법이다."
백화현상,"건물 외벽이 콘크리트, 시멘트모르타르, 타일 등으로 마감했을 때 그 표면에 백색물질이 발생하는 경우를 말한다. 이 현상은 시멘트의 가용성 성분인 수산화칼슘이 표면으로 삐져나와 수분이 증발되면서 발생하거나 공기 중 탄산가스와 반응하여 석회석성분인 탄산칼슘이나 황산칼슘으로 변하여 표면에 침착하여 발생한다."
지번색인표,지번의 등록사항을 알기 쉽게 하기 위하여 일람도별로 작성한 것으로 원하는 지번의 토지가 어느 지적도에 등록되어 있는가를 쉽게 찾을 수 있도록 정리해 놓은 표이다.
토지문제의 발생원인,"토지는 인류와 밀접한 관계가 있기 때문에 여러 문제가 발생한다. 토지문제 발생 원인은 토지의 원인, 인류의 원인, 인문적 원인 등 여러 가지가 있다. 토지의 원인은 토지가 인류의 의식주와 밀접한 관계가 있기 때문에, 소유하고 싶어 하나 토지는 자연물이기 때문에 임의적으로 증감시킬 수 없는데서 그 문제가 발생한다.인구의 원인은 인구의 양이 급속도로 증가하고 있는 반면 토지는 한정되어 있기 때문에 토지 분배가 부적절하여 생기는 문제이다. 마지막으로 인문적인 원인은 정치의 불량, 경제변동, 사회변화, 문화진보의 영향 등의 인문적인 문제에 따라 문제가 발생하는 것을 말한다."
중과세율,"특정한 경우 세금을 무겁게 물리기 위해 높여놓은 세율을 말한다.조세특례의 하나인 중과세의 세율로 과밀억제권역에서 본점이나 주사무소의 사업용 부동산을 취득하거나 공장을 신설하거나 증설하기 위해 사업용 과세물건을 취득하는 경우, 별장 · 골프장 · 고급주택 · 고급오락장 · 고급선박을 취득할 경우 등에는 각각 중과세를 받게 되는데, 이때에 적용되는 세율이 중과세율이다."
임대차계약의 해제 · 해지 및 갱신거절,"- 임대사업자는 해당 임대주택의 입주자가 다음에 해당하는 경우에는 임대차계약을 해제 · 해지하거나 재계약을 거절할 수 있다.민간임대사업자의 경우는① 거짓이나 그 밖의 부정한 방법으로 민간임대주택을 임대받은 경우② 임대차기간이 시작된 날부터 3개월 이내에 입주하지 않은 경우(다만, 임대사업자에게 책임 있는 사유로 입주가 지연된 경우는 제외함)③ 임대료를 3개월 이상 연속하여 연체한 경우④ 민간임대주택 및 그 부대시설을 임대사업자의 동의를 받지 않고 개축 · 증축 또는 변경하거나 본래의 용도가 아닌 용도로 사용하는 경우⑤ 민간임대주택 및 그 부대시설을 고의로 파손 또는 멸실한 경우⑥ 공공지원민간임대주택의 임차인이 다음에 해당하게 된 경우㉠ 임차인의 자산 또는 소득이 입주자격요건을 초과하는 경우㉡ 임대차계약 기간 중 다른 주택을 소유하게 된 경우⑦ 임차인이 공공지원민간임대주택 또는 공공임대주택에 중복하여 입주하거나 계약한 것으로 확인된 경우⑧ 표준임대차계약서에 따른 입주자의 의무를 위반한 경우공공주택사업자의 경우는① 거짓이나 그 밖의 부정한 방법으로 공공임대주택을 임대받은 경우② 임차인의 자산 및 소득이 입주자 격 요건을 초과하는 경우③ 공공임대주택에 중복하여 입주하거나 계약한 것으로 확인된 경우④ 표준임대차계약서상의 의무를 위반한 경우⑤ 공공임대주택의 임차권을 다른 사람에게 양도하거나 공공임대주택을 전대한 경우⑥ 분양전환 신청기간 이내에 분양전환 신청을 하지 아니한 경우⑦ 공공주택사업자의 귀책사유 없이 임대차 계약기간이 시작된 날부터 3개월 이내에 입주하지 아니한 경우⑧ 월 임대료를 3개월 이상 연속하여 연체한 경우⑨ 분납임대주택의 분납금을 3개월 이상 연체한 경우⑩ 공공임대주택 및 그 부대시설을 공공주택사업자의 동의를 받지 아니하고 개축 · 증축 또는 변경하거나 본래의 용도가 아닌 용도로 사용하는 경우⑪ 공공임대주택 및 그 부대시설을 고의로 파손하거나 멸실한 경우⑫ 공공임대주택의 임대차 계약기간 중 다른 주택을 소유하게 된 경우(다만, 상속 · 판결 또는 혼인 등 그 밖의 부득이한 사유로 다른 주택을 소유하게 되어 부적격자로 통보받은 날부터 6개월 이내에 해당 주택을 처분하는 경우와 해당 임대주택의 입주자 모집 당시 입주자를 선정하고 남은 임대주택의 임차권을 선착순의 방법으로 취득한 경우 등은 제외함)⑬ 임차인이 해당 주택에서 퇴거하거나 다른 공공임대주택에 당첨되어 입주하는 경우.- 공공임대주택의 입주자는 다음과 같은 경우 임대사업자와 임대차계약을 해제 · 해지하거나 계약의 갱신을 거절할 수 있다.① 시장 · 군수 또는 구청장이 공공임대주택에 거주하기 곤란할 정도의 중대한 하자가 있다고 인정한 경우② 공공주택사업자가 시장 · 군수 또는 구청장이 지정한 기간에 하자보수명령을 이행하지 아니한 경우③ 공공주택사업자가 임차인의 의사에 반하여 공공임대주택의 부대 · 복리시설을 파손하거나 철거시킨 경우④ 공공주택사업자에게 책임 있는 사유로 입주기간의 종료일부터 3개월 이내에 입주할 수 없는 경우⑤ 표준임대차계약서에 따른 임대사업자의 의무를 위반한 경우.분납임대주택의 공공주택사업자는 임대차계약을 해제 또는 해지하거나 재계약을 거절하는 경우에는 국토교통부령으로 정하는 기준에 따라 산정된 반환금을 임차인에게 지급해야 한다.근거법은 민간임대주택에 관한 특별법과 공공주택특별법 특별법이다."
